Index,Type,Weight,Price
0,Scallop,4.75,142.38
1,Crab,3.18,57.22
2,Crab,2.85,51.22
3,Scallop,1.03,31.02
4,Shrimp,2.90,37.67
5,Scallop,5.51,165.23
6,Scallop,1.38,41.34
7,Fish,3.33,13.29
8,Shrimp,1.89,24.49
9,Fish,2.17,8.64
10,Shrimp,2.83,36.82
11,Shrimp,3.08,40.04
12,Fish,4.89,19.52
13,Shrimp,4.03,52.39
14,Fish,2.62,10.47
15,Crab,2.25,40.54
16,Fish,4.63,18.46
17,Shrimp,2.03,26.38
18,Shrimp,5.70,74.05
19,Fish,4.09,16.31
20,Shrimp,5.21,67.71
21,Crab,5.70,102.54
22,Crab,1.39,24.94
23,Shrimp,4.23,54.89
24,Fish,5.40,21.55
25,Fish,5.08,20.28
26,Fish,2.96,11.80
27,Scallop,3.92,117.70
28,Fish,3.97,15.84
29,Scallop,2.87,86.09
30,Fish,5.12,20.44
31,Shrimp,4.96,64.48
32,Fish,2.25,8.97
33,Fish,4.77,19.04
34,Fish,1.30,5.19
35,Shrimp,3.62,47.08
36,Fish,4.68,18.67
37,Shrimp,4.91,63.74
38,Scallop,5.01,150.10
39,Shrimp,3.37,43.77
40,Fish,5.41,21.59
41,Scallop,4.34,130.05
42,Shrimp,2.22,28.85
43,Scallop,4.59,137.80
44,Crab,1.92,34.63
45,Fish,1.67,6.66
46,Fish,2.49,9.92
47,Crab,2.04,36.76
48,Fish,3.99,15.92
49,Fish,5.04,20.12
50,Crab,1.68,30.18
51,Fish,4.89,19.50
52,Fish,3.44,13.73
53,Fish,4.60,18.34
54,Scallop,4.97,148.91
55,Fish,2.32,9.27
56,Shrimp,4.28,55.65
57,Fish,4.40,17.56
58,Shrimp,4.82,62.65
59,Fish,4.19,16.70
60,Fish,5.44,21.70
61,Fish,5.60,22.34
62,Crab,4.59,82.55
63,Shrimp,2.04,26.44
64,Crab,5.22,93.98
65,Fish,4.21,16.78
66,Shrimp,3.44,44.74
67,Fish,3.59,14.34
68,Shrimp,5.71,74.18
69,Shrimp,3.57,46.36
70,Crab,4.32,77.67
71,Fish,1.85,7.36
72,Fish,5.16,20.58
73,Shrimp,4.26,55.36
74,Fish,2.68,10.71
75,Shrimp,3.56,46.27
76,Crab,2.10,37.79
77,Fish,2.17,8.67
78,Fish,4.25,16.97
79,Scallop,4.31,129.14
80,Fish,2.71,10.81
81,Fish,5.55,22.13
82,Fish,3.55,14.16
83,Fish,3.61,14.41
84,Fish,4.29,17.10
85,Fish,5.66,22.58
86,Fish,3.52,14.05
87,Scallop,3.28,98.22
88,Fish,2.95,11.78
89,Shrimp,1.07,13.84
90,Shrimp,3.73,48.45
91,Shrimp,5.72,74.34
92,Fish,4.51,17.99
93,Shrimp,1.63,21.20
94,Crab,3.99,71.78
95,Scallop,5.53,165.72
96,Scallop,3.33,99.91
97,Fish,3.89,15.54
98,Fish,1.41,5.63
99,Shrimp,4.52,58.69
100,Fish,3.01,12.02
101,Scallop,1.29,38.70
102,Fish,1.69,6.73
103,Shrimp,5.94,77.20
104,Fish,1.94,7.74
105,Crab,4.91,88.29
106,Scallop,4.98,149.28
107,Fish,1.49,5.93
108,Shrimp,1.32,17.21
109,Crab,3.29,59.21
110,Shrimp,4.86,63.19
111,Fish,2.72,10.86
112,Fish,3.66,14.59
113,Fish,2.37,9.45
114,Fish,5.84,23.30
115,Fish,2.72,10.87
116,Fish,1.23,4.89
117,Fish,2.36,9.40
118,Scallop,4.47,133.99
119,Scallop,4.52,135.68
120,Fish,2.49,9.93
121,Shrimp,1.97,25.58
122,Crab,1.99,35.78
123,Fish,4.75,18.95
124,Fish,4.46,17.79
125,Crab,2.87,51.61
126,Crab,3.07,55.32
127,Shrimp,2.50,32.52
128,Fish,1.09,4.33
129,Fish,4.04,16.14
130,Shrimp,1.47,19.04
131,Crab,1.02,18.34
132,Fish,2.52,10.05
