Index,Type,Weight,Price,,,
0,Shrimp,4.43,57.55,,,
1,Fish,3.14,12.54,,,
2,Shrimp,3.25,42.28,,,
3,Fish,5.59,22.29,,,
4,Crab,2.09,37.6,,,
5,Scallop,5.87,176.11,,,
6,Fish,4.14,16.53,,,
7,Crab,4.44,79.93,,,
8,Fish,4.69,18.71,,,
9,Scallop,1.54,46.24,,,
10,Fish,3.7,14.78,,,
11,Fish,2.4,9.59,,,
12,Fish,3.32,13.23,,,
13,Fish,3.99,15.94,,,
14,Fish,3.42,13.64,,,
15,Shrimp,2.77,36.05,,,
16,Shrimp,5.62,73,,Type,Count of Type
17,Fish,5.77,23.03,,Crab,41
18,Fish,1.74,6.95,,Fish,141
19,Fish,3.01,12.01,,Scallop,40
20,Shrimp,4.09,53.08,,Shrimp,78
21,Shrimp,4.06,52.79,,,
22,Fish,4.24,16.93,,,
23,Fish,1.45,5.77,,,
24,Fish,1.4,5.58,,,
25,Fish,3.71,14.81,,,
26,Fish,2.24,8.93,,,
27,Scallop,4.64,139.24,,,
28,Fish,5,19.93,,,
29,Crab,1.19,21.44,,,
30,Shrimp,4.51,58.6,,,
31,Fish,4.56,18.18,,,
32,Fish,5.77,23.01,,,
33,Fish,3.19,12.71,,,
34,Crab,4.91,88.25,,,
35,Shrimp,1.51,19.58,,,
36,Fish,1.47,5.87,,,
37,Fish,4.73,18.86,,,
38,Fish,3.19,12.74,,,
39,Fish,3.23,12.87,,,
40,Shrimp,1.88,24.38,,,
41,Scallop,3.39,101.52,,,
42,Fish,3.02,12.04,,,
43,Shrimp,3.13,40.67,,,
44,Fish,3.83,15.3,,,
45,Fish,3.24,12.93,,,
46,Fish,5.79,23.12,,,
47,Fish,2.97,11.84,,,
48,Scallop,1.71,51.17,,,
49,Fish,4.25,16.96,,,
50,Scallop,3.23,96.84,,,
51,Fish,3.57,14.26,,,
52,Fish,2.32,9.27,,,
53,Scallop,2.85,85.41,,,
54,Crab,2.67,48.1,,,
55,Fish,2.86,11.4,,,
56,Fish,3.42,13.64,,,
57,Shrimp,2.39,31.08,,,
58,Crab,4.11,74.02,,,
59,Fish,1.05,4.18,,,
60,Fish,2.01,8.02,,,
61,Fish,4.11,16.39,,,
62,Fish,1.31,5.23,,,
63,Fish,4.43,17.66,,,
64,Scallop,2.59,77.79,,,
65,Crab,5.29,95.11,,,
66,Crab,2.56,46.01,,,
67,Fish,5.6,22.35,,,
68,Shrimp,2.08,27,,,
69,Shrimp,1.13,14.69,,,
70,Fish,2.49,9.92,,,
71,Shrimp,4.64,60.32,,,
72,Crab,5.8,104.42,,,
73,Fish,5.29,21.1,,,
74,Fish,4.76,18.99,,,
75,Fish,3.57,14.26,,,
76,Fish,5.63,22.45,,,
77,Fish,4.07,16.25,,,
78,Shrimp,2.93,38.11,,,
79,Shrimp,4.28,55.56,,,
80,Crab,2.33,41.97,,,
81,Fish,1.62,6.45,,,
82,Scallop,2.31,69.22,,,
83,Fish,1.57,6.27,,,
84,Fish,5.35,21.35,,,
85,Shrimp,3.06,39.73,,,
86,Fish,3.06,12.21,,,
87,Crab,5.34,96.06,,,
88,Scallop,1.96,58.92,,,
89,Crab,1.74,31.24,,,
90,Fish,3.52,14.06,,,
91,Fish,4.7,18.76,,,
92,Fish,1.89,7.56,,,
93,Fish,2.49,9.95,,,
94,Fish,3.12,12.46,,,
95,Shrimp,4.13,53.6,,,
96,Fish,3.85,15.36,,,
97,Scallop,3.54,106.09,,,
98,Fish,1.23,4.91,,,
99,Shrimp,3.75,48.75,,,
100,Scallop,5.47,164.13,,,
101,Fish,5.08,20.28,,,
102,Scallop,4.52,135.47,,,
103,Fish,4.73,18.86,,,
104,Fish,3.25,12.98,,,
105,Fish,1.49,5.96,,,
106,Fish,5.01,19.98,,,
107,Shrimp,3.98,51.7,,,
108,Crab,2.55,45.93,,,
109,Fish,4.25,16.96,,,
110,Fish,4.69,18.72,,,
111,Fish,1.65,6.59,,,
112,Shrimp,4.75,61.76,,,
113,Fish,3.37,13.46,,,
114,Shrimp,4.14,53.78,,,
115,Fish,4.03,16.09,,,
116,Shrimp,2.84,36.93,,,
117,Fish,2.34,9.35,,,
118,Shrimp,4.81,62.48,,,
119,Shrimp,4.52,58.75,,,
120,Shrimp,1.94,25.25,,,
121,Shrimp,4.25,55.16,,,
122,Shrimp,1.54,20.06,,,
123,Shrimp,2.43,31.55,,,
124,Shrimp,2.72,35.3,,,
125,Scallop,4.94,148.02,,,
126,Scallop,3.22,96.67,,,
127,Fish,2.42,9.67,,,
128,Fish,5.14,20.53,,,
129,Fish,1.46,5.83,,,
130,Fish,4.3,17.18,,,
131,Fish,5.83,23.28,,,
132,Fish,4.38,17.48,,,
133,Scallop,3.62,108.6,,,
134,Fish,5.63,22.47,,,
135,Fish,5.83,23.26,,,
136,Crab,4.83,86.87,,,
137,Fish,2.78,11.07,,,
138,Fish,2.74,10.92,,,
139,Crab,3.22,57.88,,,
140,Fish,5.59,22.31,,,
141,Crab,1.04,18.78,,,
142,Shrimp,3.99,51.78,,,
143,Fish,4.58,18.28,,,
144,Scallop,4.55,136.48,,,
145,Shrimp,5.21,67.67,,,
146,Crab,2.38,42.86,,,
147,Crab,2.72,48.92,,,
148,Scallop,2.68,80.47,,,
149,Scallop,2.44,73.3,,,
150,Shrimp,1.11,14.38,,,
151,Fish,1.58,6.32,,,
152,Crab,3.09,55.61,,,
153,Scallop,4.23,126.81,,,
154,Fish,1.85,7.38,,,
155,Crab,3.82,68.72,,,
156,Scallop,4.77,143.11,,,
157,Shrimp,2.79,36.26,,,
158,Shrimp,1.45,18.82,,,
159,Crab,3.49,62.85,,,
160,Shrimp,1.31,17.02,,,
161,Shrimp,1.56,20.22,,,
162,Crab,4.09,73.61,,,
163,Fish,1.12,4.46,,,
164,Fish,4.7,18.74,,,
165,Shrimp,2.55,33.09,,,
166,Fish,5.47,21.82,,,
167,Crab,1.73,31.11,,,
168,Scallop,4.8,143.83,,,
169,Scallop,5.46,163.86,,,
170,Crab,4.36,78.5,,,
171,Shrimp,2.71,35.25,,,
172,Fish,2.05,8.19,,,
173,Shrimp,3.32,43.15,,,
174,Crab,5.75,103.45,,,
175,Crab,4.69,84.37,,,
176,Crab,3.85,69.29,,,
177,Shrimp,4.52,58.68,,,
178,Fish,5.03,20.08,,,
179,Fish,5.82,23.21,,,
180,Fish,5.98,23.87,,,
181,Scallop,2.1,62.97,,,
182,Fish,2.23,8.88,,,
183,Fish,5.07,20.25,,,
184,Shrimp,2.67,34.67,,,
185,Scallop,4.73,141.81,,,
186,Fish,5.22,20.83,,,
187,Scallop,4.88,146.48,,,
188,Fish,4.98,19.89,,,
189,Fish,4.38,17.47,,,
190,Crab,1.74,31.21,,,
191,Shrimp,4.69,60.89,,,
192,Fish,4.68,18.66,,,
193,Shrimp,5.63,73.08,,,
194,Fish,2.33,9.28,,,
195,Fish,3.1,12.39,,,
196,Shrimp,2.9,37.64,,,
197,Fish,2.4,9.57,,,
198,Crab,3.53,63.48,,,
199,Crab,3.05,54.82,,,
200,Scallop,1.03,30.86,,,
201,Fish,3.17,12.63,,,
202,Fish,2.58,10.31,,,
203,Fish,1.67,6.66,,,
204,Fish,4.57,18.24,,,
205,Crab,4.75,85.47,,,
206,Shrimp,2.4,31.21,,,
207,Fish,5.55,22.14,,,
208,Scallop,4.04,121.09,,,
209,Crab,1.43,25.8,,,
210,Scallop,3.97,119.1,,,
211,Fish,2.76,11,,,
212,Fish,1.26,5.03,,,
213,Fish,2.95,11.77,,,
214,Fish,4.73,18.87,,,
215,Scallop,1.82,54.58,,,
216,Scallop,2.02,60.68,,,
217,Scallop,5.89,176.72,,,
218,Fish,2.11,8.4,,,
219,Shrimp,1.71,22.16,,,
220,Fish,4.87,19.42,,,
221,Fish,4.05,16.15,,,
222,Fish,4.89,19.5,,,
223,Fish,5.25,20.94,,,
224,Shrimp,1.57,20.41,,,
225,Fish,3.42,13.66,,,
226,Scallop,3.12,93.66,,,
227,Shrimp,1.22,15.9,,,
228,Shrimp,1.35,17.56,,,
229,Shrimp,1.14,14.87,,,
230,Scallop,5.37,161.05,,,
231,Crab,5.51,99.06,,,
232,Shrimp,2.55,33.07,,,
233,Crab,3.65,65.61,,,
234,Fish,2.05,8.17,,,
235,Fish,1.04,4.14,,,
236,Shrimp,2.39,31,,,
237,Shrimp,5.61,72.82,,,
238,Fish,3.31,13.2,,,
239,Shrimp,2.19,28.43,,,
240,Fish,5.41,21.6,,,
241,Shrimp,1.95,25.29,,,
242,Fish,5.68,22.66,,,
243,Shrimp,4.69,60.98,,,
244,Shrimp,5.28,68.54,,,
245,Fish,5.92,23.62,,,
246,Fish,4.05,16.16,,,
247,Fish,4.41,17.59,,,
248,Fish,4.48,17.88,,,
249,Fish,2.25,8.99,,,
250,Shrimp,5.76,74.8,,,
251,Shrimp,1.62,21.08,,,
252,Shrimp,4.51,58.65,,,
253,Shrimp,3.61,46.87,,,
254,Fish,4.11,16.41,,,
255,Shrimp,3.49,45.29,,,
256,Shrimp,4.54,58.96,,,
257,Fish,2.09,8.34,,,
258,Fish,5.85,23.36,,,
259,Fish,1.95,7.77,,,
260,Crab,4.06,73.05,,,
261,Crab,1.14,20.52,,,
262,Fish,5.95,23.72,,,
263,Fish,3.52,14.05,,,
264,Scallop,2.15,64.39,,,
265,Fish,3.4,13.55,,,
266,Shrimp,4.33,56.26,,,
267,Scallop,3.79,113.65,,,
268,Scallop,2.42,72.58,,,
269,Fish,5.69,22.71,,,
270,Shrimp,5.75,74.69,,,
271,Shrimp,2.81,36.54,,,
272,Fish,1.35,5.4,,,
273,Shrimp,5.54,72.03,,,
274,Fish,5.67,22.61,,,
275,Fish,3.12,12.43,,,
276,Shrimp,3.03,39.34,,,
277,Shrimp,5.59,72.65,,,
278,Shrimp,2.94,38.13,,,
279,Fish,2.76,11.01,,,
280,Fish,2.1,8.37,,,
281,Crab,1.45,26,,,
282,Scallop,3.45,103.38,,,
283,Scallop,4.43,132.77,,,
284,Fish,5.11,20.39,,,
285,Shrimp,3.63,47.13,,,
286,Crab,5.8,104.39,,,
287,Shrimp,4.93,64.02,,,
288,Crab,2.79,50.16,,,
289,Shrimp,3.9,50.63,,,
290,Fish,5.49,21.89,,,
291,Shrimp,1.79,23.26,,,
292,Crab,5.29,95.16,,,
293,Shrimp,2.8,36.35,,,
294,Crab,2.56,45.97,,,
295,Shrimp,1.62,21.05,,,
296,Fish,1.65,6.57,,,
297,Scallop,2.36,70.66,,,
298,Shrimp,4.75,61.64,,,
299,Fish,3.91,15.62,,,
